ORIGIN,TOTAL
COLOMBIA,3363
ESPAÑA,254
ESTADOS UNIDOS DE AMERICA,198
ECUADOR,46
MEXICO,45
PANAMA,31
TURQUIA,28
BRASIL,24
JAMAICA,17
FRANCIA,15
PUERTO RICO,12
EGIPTO,10
ALEMANIA,10
ITALIA,10
REPUBLICA DOMINICANA,9
LONDRES,8
PERU,8
ISLA SAN MARTIN,7
ISRAEL,5
INGLATERRA,5
GRECIA,4
CANADA,4
ARUBA,3
ARGENTINA,3
VENEZUELA,3
CUBA,2
ESTADOS UNIDOS,2
CHILE,2
EUROPA,2
MARRUECOS,2
COSTA RICA,2
ARABIA,1
DUBAI,1
GUATEMALA,1
REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL,1
MÉXICO,1
HONDURAS,1
BELGICA,1
CROACIA,1
URUGUAY,1
SUIZA,1
KENIA,1
EMIRATOS ARABES,1
AUSTRALIA,1
CURAZAO,1
IRLANDA,1
