DATE,PROCESSED,ACCUMULATED
2020-03-05 00:00:00.000,35,636
2020-03-06 00:00:00.000,103,739
2020-03-07 00:00:00.000,71,810
2020-03-08 00:00:00.000,3,813
2020-03-09 00:00:00.000,38,851
2020-03-10 00:00:00.000,76,927
2020-03-11 00:00:00.000,206,1133
2020-03-12 00:00:00.000,260,1393
2020-03-13 00:00:00.000,361,1754
2020-03-14 00:00:00.000,589,2343
2020-03-15 00:00:00.000,833,3176
2020-03-16 00:00:00.000,431,3607
2020-03-17 00:00:00.000,324,3931
2020-03-18 00:00:00.000,759,4690
2020-03-19 00:00:00.000,673,5363
2020-03-20 00:00:00.000,403,5766
2020-03-21 00:00:00.000,298,6064
2020-03-22 00:00:00.000,846,6910
2020-03-23 00:00:00.000,375,7285
2020-03-24 00:00:00.000,766,8051
2020-03-25 00:00:00.000,746,8797
2020-03-26 00:00:00.000,431,9228
2020-03-27 00:00:00.000,258,9486
2020-03-28 00:00:00.000,1365,10851
2020-03-29 00:00:00.000,1474,12325
2020-03-30 00:00:00.000,1491,13816
2020-03-31 00:00:00.000,4047,17863
2020-04-01 00:00:00.000,2390,20253
2020-04-02 00:00:00.000,1159,21412
2020-04-03 00:00:00.000,1340,22752
2020-04-04 00:00:00.000,1237,23989
2020-04-05 00:00:00.000,1558,25547
2020-04-06 00:00:00.000,2421,27968
2020-04-07 00:00:00.000,2760,30728
2020-04-08 00:00:00.000,3130,33858
2020-04-09 00:00:00.000,1335,35193
2020-04-10 00:00:00.000,2683,37876
2020-04-11 00:00:00.000,2742,40618
2020-04-12 00:00:00.000,1162,41780
2020-04-13 00:00:00.000,1256,43036
2020-04-14 00:00:00.000,2315,45351
2020-04-15 00:00:00.000,3205,48556
2020-04-16 00:00:00.000,3457,52013
2020-04-17 00:00:00.000,3488,55501
2020-04-18 00:00:00.000,3429,58930
2020-04-19 00:00:00.000,3744,62674
2020-04-20 00:00:00.000,2423,65097
2020-04-21 00:00:00.000,3259,68356
2020-04-22 00:00:00.000,3051,71407
2020-04-23 00:00:00.000,3457,74864
2020-04-24 00:00:00.000,3121,77985
2020-04-25 00:00:00.000,3068,81053
2020-04-26 00:00:00.000,6053,87106
2020-04-27 00:00:00.000,3793,90899
2020-04-28 00:00:00.000,4186,95085
2020-04-29 00:00:00.000,5068,100153
2020-04-30 00:00:00.000,4504,104657
2020-05-01 00:00:00.000,4293,108950
2020-05-02 00:00:00.000,5652,114602
2020-05-03 00:00:00.000,4199,118801
2020-05-04 00:00:00.000,4228,123029
2020-05-05 00:00:00.000,4076,127105
2020-05-06 00:00:00.000,4005,131110
2020-05-07 00:00:00.000,4242,135352
2020-05-08 00:00:00.000,4387,139739
2020-05-09 00:00:00.000,5173,144912
2020-05-10 00:00:00.000,6484,151396
2020-05-11 00:00:00.000,7537,158933
2020-05-12 00:00:00.000,6805,165738
2020-05-13 00:00:00.000,6041,171779
2020-05-14 00:00:00.000,5271,177050
2020-05-15 00:00:00.000,6062,183112
2020-05-16 00:00:00.000,7002,190114
2020-05-17 00:00:00.000,6303,196417
2020-05-18 00:00:00.000,5471,201888
2020-05-19 00:00:00.000,6158,208046
2020-05-20 00:00:00.000,6490,214536
2020-05-21 00:00:00.000,7574,222110
2020-05-22 00:00:00.000,13838,235948
2020-05-23 00:00:00.000,7171,243119
2020-05-24 00:00:00.000,9623,252742
2020-05-25 00:00:00.000,8070,260812
2020-05-26 00:00:00.000,10306,271118
2020-05-27 00:00:00.000,12346,283464
2020-05-28 00:00:00.001,12150,295614
2020-05-29 00:00:00.001,10797,306411
2020-05-30 00:00:00.001,13368,319779
2020-05-31 00:00:00.001,12038,331817
2020-06-01 00:00:00.001,9325,341142
2020-06-02 00:00:00.001,8981,350123
2020-06-03 00:00:00.001,12309,362432
2020-06-04 00:00:00.001,12160,374592
