CITY,DEPARTAMENT,CASES,LAT,LNG
Acacias,Meta,1,4.0224492000000005,-73.79634879458158
Acevedo,Huila,1,1.7107656,-76.00684034244915
Agrado,Huila,1,2.2632959,-75.71500368269609
Amaga,Antioquia,1,6.0358169,-75.7009108125
Anapoima,Cundinamarca,2,4.5638824,-74.52493044480659
Andalucia,Valle del Cauca,1,4.13615295,-76.1575945087867
Anserma,Caldas,1,5.1993524,-75.74941359329166
Apartado,Antioquia,4,7.8849011,-76.6227461
Arjona,Bolívar,2,10.2534632,-75.3427213
Armenia,Quindío,39,4.536307,-75.6723751
Baranoa,Atlántico,2,10.78069155,-74.91644056868049
Barrancabermeja,Santander,6,7.0673313,-73.8525627
Barranco De Loba,Bolívar,1,8.80374595,-74.24064154122095
Barranquilla,Barranquilla D.E.,77,10.9799669,-74.8013085
Bello,Antioquia,30,6.334997,-75.5582665
Bogota,Bogotá D.C.,1481,4.9735369,-73.9623052
Bucaramanga,Santander,16,7.1114611,-73.1172869
Buenaventura,Buenaventura D.E.,15,3.8899335,-77.0786047
Buga,Valle del Cauca,8,3.9000578,-76.302013
Bugalagrande,Valle del Cauca,1,4.20102915,-76.0965637684672
Cajica,Cundinamarca,11,4.9172215,-74.0255474
Calarca,Quindío,6,4.4542787,-75.6463072673771
Caldas,Antioquia,3,6.05168765,-75.63035824143907
Cali,Valle del Cauca,481,3.4517923,-76.5324943
Candelaria,Valle del Cauca,3,3.377435,-76.3935902546334
Cartagena,Cartagena D.T. y C,172,10.4195841,-75.5271224
Cartago,Valle del Cauca,10,4.7113384499999995,-75.93193308901687
Cerete,Córdoba,1,8.8884178,-75.84239456572658
Chia,Cundinamarca,23,4.8612976,-74.0599286
Chinchina,Caldas,4,5.00215285,-75.70398901206929
Choachi,Cundinamarca,1,4.577594449999999,-73.92054600254501
Choconta,Cundinamarca,1,5.11596835,-73.68657821135476
Cienaga,Magdalena,13,10.8567448,-73.95383684941308
Cienaga De Oro,Córdoba,1,8.8746769,-75.6210036
Cimitarra,Santander,2,6.4241984500000004,-74.0920370496232
Circasia,Quindío,3,4.6113471,-75.66242566383346
Cocorna,Antioquia,1,6.00398715,-75.1362078336584
Cogua,Cundinamarca,1,5.11297315,-73.95798270869118
Concepcion,Santander,1,6.801466100000001,-72.53704224813652
Contadero,Nariño,1,0.9274640000000001,-77.52194753384434
Copacabana,Antioquia,1,6.3600462,-75.49786997389143
Cota,Cundinamarca,9,4.8093624,-74.1015739
Cucuta,Norte de Santander,54,7.8971458,-72.5080387
Cumbal,Nariño,3,0.9396153,-77.99224707962216
Cumbitara,Nariño,1,1.7410705,-77.59623114999262
Curiti,Santander,1,6.61280515,-73.01687869333793
Darien,Valle del Cauca,1,3.95565265,-76.6429339057111
Don Matias,Antioquia,1,6.502334100000001,-75.39457059470519
Dosquebradas,Risaralda,39,4.839737400000001,-75.67269689398901
El Banco,Magdalena,1,8.9953753,-73.9723091
El Cerrito,Valle del Cauca,7,3.68715065,-76.33913464386961
El Dovio,Valle del Cauca,4,4.541472199999999,-76.30740306229501
El Retiro,Antioquia,1,6.06171475,-75.51064152773847
Envigado,Antioquia,25,6.1701345,-75.5874132
Espinal,Tolima,3,4.1694098,-74.8896022123354
Facatativa,Cundinamarca,3,4.8097329,-74.3541284
Filandia,Quindío,1,4.663702300000001,-75.67683365295622
Florencia,Caquetá,1,1.7554212,-75.60811976268113
Florida,Valle del Cauca,4,3.30080485,-76.1905432829982
Floridablanca,Santander,7,7.0625358,-73.0858228
Frontino,Antioquia,1,6.6762904,-76.37720094861334
Fundacion,Magdalena,1,10.4593846,-73.84076322911648
Funza,Cundinamarca,6,4.7163036,-74.2122206
Fusagasuga,Cundinamarca,1,4.3369235,-74.3644854
Galapa,Atlántico,1,10.8982834,-74.87954409284075
Garagoa,Boyacá,1,5.08754645,-73.31602438209694
Garzon,Huila,1,2.1625835,-75.55514449355248
Gigante,Huila,2,2.3948453,-75.52692389190894
Ginebra,Valle del Cauca,1,3.7489065999999998,-76.20029746623786
Granada,Antioquia,1,6.1266667,-75.12898939342249
Guacari,Valle del Cauca,2,3.7775365,-76.30181859206172
Guarne,Antioquia,2,6.272654,-75.43925679397356
Guatape,Antioquia,2,6.2525941,-75.16688346311615
Ibague,Tolima,26,4.4446595,-75.2430012
Ipiales,Nariño,19,0.8278641,-77.6402069
Isnos (San Jose De Isnos),Huila,1,1.9301058,-76.2150064
Itagui,Antioquia,11,6.1724352,-75.6093254
Jamundi,Valle del Cauca,7,3.22475455,-76.618841826802
La Calera,Cundinamarca,1,4.707288950000001,-73.9397466925299
La Ceja,Antioquia,2,5.985242250000001,-75.4467398934149
La Dorada,Caldas,26,5.4544379,-74.6633693
La Estrella,Antioquia,5,6.1576944,-75.6434368
La Tebaida,Quindío,1,4.441394450000001,-75.82105808838634
La Union,Nariño,1,1.60817875,-77.12978093434285
La Union,Valle del Cauca,1,4.5372793,-76.10447035003764
La Virginia,Risaralda,1,4.9028560500000005,-75.85917662661258
Leticia,Amazonas,4,-3.58082345,-70.08851628711486
Lorica,Córdoba,1,9.189007,-75.87850891819562
Madrid,Cundinamarca,5,4.77404575,-74.28145543477225
Malambo,Atlántico,2,10.85147895,-74.80419728364117
Manizales,Caldas,12,5.0681104,-75.5173198
Medellin,Antioquia,213,6.2443382,-75.573553
Melgar,Tolima,1,4.1841312,-74.63789503015164
Miranda,Cauca,5,3.2214519,-76.1642669680467
Montebello,Antioquia,3,5.9189243000000005,-75.51309469944826
Montenegro,Quindío,3,4.51695305,-75.82308053549139
Monteria,Córdoba,13,8.7558921,-75.887029
Mosquera,Cundinamarca,5,4.6759817,-74.2302707879411
Neiva,Huila,62,2.9263127,-75.2891733
Ocaña,Norte de Santander,1,8.1758238,-73.3670106
Oicata,Boyacá,1,5.6170796,-73.27484921284284
Pacho,Cundinamarca,11,5.1319719,-74.1580379
Paicol,Huila,1,2.4041033,-75.71135279878791
Palermo,Huila,3,2.9100775,-75.41109206555537
Palmira,Valle del Cauca,43,3.5308373,-76.2988048
Pasto,Nariño,15,1.2146286,-77.2782516
Pereira,Risaralda,82,4.8142912,-75.6946451
Pitalito,Huila,3,1.8171632,-76.10213621847218
Polonuevo,Atlántico,1,10.7593311,-74.86249505710708
Ponedera,Atlántico,1,10.6054,-74.78257159932929
Popayan,Cauca,15,2.4420181,-76.6062744
Puerto Colombia,Atlántico,4,10.9965589,-74.91624753341524
Puerto Santander,Norte de Santander,1,8.3546568,-72.4145867
Puerto Tejada,Cauca,2,3.26408215,-76.41577603817356
Quibdo,Chocó,8,5.6845709,-76.6540463
Restrepo,Meta,1,4.29449375,-73.59681596831888
Riohacha,La Guajira,2,11.544634,-72.9069784
Rionegro,Antioquia,10,6.1536166,-75.3741691
Sabaneta,Antioquia,9,6.13882045,-75.60974996866784
Sahagun,Córdoba,1,8.79743105,-75.45217724273058
San Agustin,Huila,2,1.882076,-76.2728979
San Andres,San Andrés,6,12.5375733,-81.72043483576923
San Cristobal,Bolívar,1,10.3741973,-75.07598401839658
San Diego,Cesar,1,10.11147775,-73.35384427679273
San Francisco,Antioquia,1,5.8753712,-74.94663441381712
San Juan De Rio Seco,Cundinamarca,2,4.8455155,-74.6225366
San Martin,Cesar,1,7.93097795,-73.55970157471477
San Pedro,Valle del Cauca,2,3.9803361500000003,-76.2143508910249
San Pedro De Uraba,Antioquia,1,8.33372075,-76.34080137233052
Santa Marta,Santa Marta D.T. y C.,71,11.2422289,-74.2055606
Santa Rosa,Antioquia,2,5.8776059,-75.1053658
Santa Rosa De Cabal,Risaralda,2,4.8366479,-75.53224516873806
Santa Sofia,Boyacá,1,5.7333558,-73.60500527932183
Santafe De Antioquia,Antioquia,1,6.5564008,-75.8277746
Santana,Boyacá,4,6.055599150000001,-73.48209236741033
Santander De Quilichao,Cauca,1,3.0075752,-76.4856531
Santo Tomas,Atlántico,1,10.730191399999999,-74.80133255170662
Santuario,Antioquia,1,6.1232786,-75.2651735797388
Sibate,Cundinamarca,1,4.4660995,-74.26577106602647
Sincelejo,Sucre,1,9.315429349999999,-75.43298059079754
Soacha,Cundinamarca,27,4.5821279,-74.2197205
Socha,Boyacá,3,5.997488,-72.6911515
Sogamoso,Boyacá,1,5.7148307,-72.9279328
Soledad,Atlántico,17,10.905451549999999,-74.77405314080215
Sonson,Antioquia,1,5.6973074,-75.3140647788699
Sopo,Cundinamarca,3,4.9089313,-73.9402018
Subachoque,Cundinamarca,3,4.9279694,-74.1739644
Suesca,Cundinamarca,4,5.1032558,-73.7999769
Tenjo,Cundinamarca,6,4.82671705,-74.1535700740977
Tenza,Boyacá,2,5.076382150000001,-73.41736086183475
Tierralta,Córdoba,1,7.84705275,-76.22486782269812
Timana,Huila,1,1.95016885,-75.92657973750607
Timbio,Cauca,1,2.3809485500000003,-76.7008765859766
Tocancipa,Cundinamarca,3,4.9720528,-73.92178516511493
Togui,Boyacá,12,5.917044199999999,-73.4964349053907
Trujillo,Valle del Cauca,3,4.233587699999999,-76.33634485111209
Tulua,Valle del Cauca,11,4.0856667,-76.1972779
Tumaco,Nariño,6,1.8077554,-78.7705977
Tunja,Boyacá,7,5.5323632,-73.361362
Tuquerres,Nariño,1,1.0877864,-77.6190579
Turbaco,Bolívar,7,10.3305871,-75.4127345
Ubate,Cundinamarca,2,5.311796,-73.8123754
Ulloa,Valle del Cauca,1,4.7066505,-75.77103021881024
Valledupar,Cesar,31,10.4650361,-73.2528426
Villa Del Rosario,Norte de Santander,3,7.8318933,-72.4717181
Villamaria,Caldas,3,4.927292550000001,-75.4534734191051
Villapinzon,Cundinamarca,5,5.244351699999999,-73.59302114956787
Villavicencio,Meta,45,4.1315113,-73.6206667
Villeta,Cundinamarca,4,5.00754475,-74.48493617013274
Viterbo,Caldas,2,5.0379416,-75.88605401416814
Yarumal,Antioquia,1,7.0072117,-75.40863938465195
Yopal,Casanare,9,5.3356662,-72.3936931
Yotoco,Valle del Cauca,1,3.89766105,-76.387873049896
Yumbo,Valle del Cauca,17,3.5952779,-76.51413115988677
Zipaquira,Cundinamarca,7,5.0235325,-74.0039613
Zona Bananera,Magdalena,2,10.7969213,-74.18077833600441
