DATE,CASES,RECOVERED,DEATHS,SUM_CASES,SUM_RECOVERED,SUM_DEATHS
2020-03-06,1,0,0,1,0,0
2020-03-09,2,0,0,3,0,0
2020-03-11,6,0,0,9,0,0
2020-03-12,5,0,0,14,0,0
2020-03-13,5,1,0,19,1,0
2020-03-14,18,1,0,37,2,0
2020-03-15,16,1,0,53,3,0
2020-03-16,14,0,1,67,3,1
2020-03-17,25,1,0,92,4,1
2020-03-18,12,0,0,104,4,1
2020-03-19,26,1,0,130,5,1
2020-03-20,48,2,0,178,7,1
2020-03-21,34,4,0,212,11,1
2020-03-22,29,3,1,241,14,2
2020-03-23,73,9,1,314,23,3
2020-03-24,105,11,1,419,34,4
2020-03-25,61,13,4,480,47,8
2020-03-26,10,17,2,490,64,10
2020-03-27,49,18,3,539,82,13
2020-03-28,69,32,5,608,114,18
2020-03-29,94,29,1,702,143,19
2020-03-30,96,35,5,798,178,24
2020-03-31,107,29,5,905,207,29
2020-04-01,160,33,4,1065,240,33
2020-04-02,96,33,7,1161,273,40
2020-04-03,105,36,13,1266,309,53
2020-04-04,140,41,15,1406,350,68
2020-04-05,79,21,8,1485,371,76
2020-04-06,94,25,12,1579,396,88
2020-04-07,129,26,8,1708,422,96
2020-04-08,346,44,5,2054,466,101
2020-04-09,169,45,12,2223,511,113
2020-04-10,251,49,5,2474,560,118
2020-04-11,235,54,8,2709,614,126
2020-04-12,67,94,12,2776,708,138
2020-04-13,76,97,7,2852,805,145
2020-04-14,126,80,11,2978,885,156
2020-04-15,125,98,12,3103,983,168
2020-04-16,128,75,16,3231,1058,184
2020-04-17,205,53,4,3436,1111,188
2020-04-18,183,57,12,3619,1168,200
2020-04-19,174,73,9,3793,1241,209
2020-04-20,182,84,9,3975,1325,218
2020-04-21,171,85,9,4146,1410,227
2020-04-22,193,88,8,4339,1498,235
2020-04-23,194,104,9,4533,1602,244
2020-04-24,304,89,15,4837,1691,259
2020-04-25,261,104,10,5098,1795,269
2020-04-26,237,93,18,5335,1888,287
2020-04-27,218,90,11,5553,1978,298
2020-04-28,354,105,11,5907,2083,309
2020-04-29,261,129,19,6168,2212,328
2020-04-30,296,61,21,6464,2273,349
2020-05-01,500,113,11,6964,2386,360
2020-05-02,277,124,19,7241,2510,379
2020-05-03,423,98,18,7664,2608,397
2020-05-04,307,139,21,7971,2747,418
2020-05-05,641,299,19,8612,3046,437
2020-05-06,347,223,23,8959,3269,460
2020-05-07,497,155,25,9456,3424,485
2020-05-08,595,157,17,10051,3581,502
2020-05-09,444,194,17,10495,3775,519
2020-05-10,568,160,18,11063,3935,537
2020-05-11,550,224,27,11613,4159,564
2020-05-12,658,140,11,12271,4299,575
2020-05-13,659,223,14,12930,4522,589
2020-05-14,680,134,18,13610,4656,607
2020-05-15,606,204,21,14216,4860,628
2020-05-16,723,202,19,14939,5062,647
2020-05-17,635,144,20,15574,5206,667
2020-05-18,721,193,26,16295,5399,693
2020-05-19,640,195,29,16935,5594,722
2020-05-20,752,250,31,17687,5844,753
2020-05-21,643,280,25,18330,6124,778
2020-05-22,801,264,39,19131,6388,817
2020-05-23,1046,213,42,20177,6601,859
2020-05-24,998,301,39,21175,6902,898
2020-05-25,806,281,27,21981,7183,925
2020-05-26,1022,351,44,23003,7534,969
2020-05-27,1101,328,30,24104,7862,999
2020-05-28,1262,367,39,25366,8229,1038
2020-05-29,1322,338,46,26688,8567,1084
2020-05-30,1548,218,50,28236,8785,1134
2020-05-31,1147,1851,45,29383,10636,1179
2020-06-01,1110,339,48,30493,10975,1227
2020-06-02,1340,1397,52,31833,12372,1279
2020-06-03,1521,1042,76,33354,13414,1355
2020-06-04,1766,665,56,35120,14079,1411
2020-06-05,1515,938,68,36635,15017,1479
2020-06-06,1392,478,60,38027,15495,1539
2020-06-07,1209,971,63,39236,16466,1602
2020-06-08,1483,1075,66,40719,17541,1668
2020-06-09,1359,508,73,42078,18049,1741
2020-06-10,1604,1083,64,43682,19132,1805
2020-06-11,1530,609,73,45212,19741,1878
2020-06-12,1646,846,74,46858,20587,1952
2020-06-13,1888,680,71,48746,21267,2023
2020-06-14,2193,435,107,50939,21702,2130
2020-06-15,2124,302,91,53063,22004,2221
2020-06-16,1868,455,96,54931,22459,2317
2020-06-17,2115,972,98,57046,23431,2415
2020-06-18,3171,1103,106,60217,24534,2521
2020-06-19,3059,1330,93,63276,25864,2614
2020-06-20,2357,1436,98,65633,27300,2712
2020-06-21,3019,1745,122,68652,29045,2834
2020-06-22,2531,1438,121,71183,30483,2955
2020-06-23,2389,1424,106,73572,31907,3061
2020-06-24,3541,1540,112,77113,33447,3173
2020-06-25,3486,1918,102,80599,35365,3275
2020-06-26,3843,1647,89,84442,37012,3364
2020-06-27,4149,1200,95,88591,38212,3459
2020-06-28,3178,1666,72,91769,39878,3531
2020-06-29,3274,1665,80,95043,41543,3611
2020-06-30,2803,1699,69,97846,43242,3680
2020-07-01,4163,932,57,102009,44174,3737
2020-07-02,4101,701,40,106110,44875,3777
2020-07-03,3395,459,0,109505,45334,3777
